Stock,Period,Theta_hat,Gamma_hat,CI_lower,CI_upper
Alphabet,1,0.9813,0.7907,0.5175,1.0639
Alphabet,2,1.0269,0.9804,0.0000,2.1657
Amazon,1,0.9960,1.0997,0.5055,1.6940
Amazon,2,1.0114,1.2140,0.0000,3.3933
Apple,1,0.9807,0.7847,0.5156,1.0538
Apple,2,0.9247,0.7009,0.3377,1.0642
Meta,1,0.9752,0.7660,0.4922,1.0399
Meta,2,1.0140,1.1573,0.0000,3.1206
Microsoft,1,1.0056,1.0292,0.0000,2.0901
Microsoft,2,0.9873,1.1843,0.2984,2.0701
Nvidia,1,1.0092,0.9323,0.3129,1.5516
Nvidia,2,1.0094,1.2648,0.0000,3.6180
Tesla,1,1.0123,0.8797,0.4674,1.2921
Tesla,2,1.0006,2.0270,0.0000,5.3735
